ffa .fem-flight-attendants-light-168.jpg
 	Label 	 Score
	Object 	 Score
0	Person 	 90.15887975692749 
1	Person 	 89.69219923019409 
2	Person 	 88.46781253814697 
3	Person 	 87.68287897109985 
4	Person 	 77.59016752243042 
5	Clothing 	 75.3764808177948 
6	Person 	 73.40425848960876 
7	Clothing 	 69.31055188179016 
8	Pants 	 65.64081311225891 
9	Clothing 	 51.600247621536255 


ffa .fem-flight-attendants-light-151.jpg
 	Label 	 Score
0	Handshake 	 90.0037407875061 
1	Coat 	 88.81235718727112 
2	Greeting 	 87.66176104545593 
3	Gesture 	 85.2604866027832 
4	Automotive design 	 84.79430675506592 
5	Comfort 	 81.22022747993469 
6	Suit 	 79.78020906448364 
7	Hearing 	 78.23266386985779 
8	Blazer 	 77.50551104545593 
9	Chair 	 77.32746005058289 
	Object 	 Score
0	Person 	 90.49600958824158 
1	Person 	 87.88893222808838 
2	Light fixture 	 57.3014497756958 
3	Coat 	 53.26148271560669 
4	Coat 	 52.52922177314758 


ffa .fem-flight-attendants-light-517.jpg
 	Label 	 Score
0	Gesture 	 85.2604866027832 
1	Automotive design 	 79.98597025871277 
2	Engineering 	 76.32283568382263 
3	Workwear 	 74.0963339805603 
4	Event 	 73.76518249511719 
5	White-collar worker 	 73.41617345809937 
6	Eyewear 	 72.65844345092773 
7	Fashion design 	 72.65834212303162 
8	Service 	 72.45385646820068 
9	Air travel 	 70.09780406951904 
	Object 	 Score
0	Person 	 87.14659214019775 
1	Dress 	 86.67274713516235 
2	Person 	 85.35366654396057 
3	Scarf 	 84.24695134162903 
4	Person 	 76.44250988960266 
5	Top 	 72.79290556907654 
6	Luggage & bags 	 57.82923102378845 
7	Skirt 	 50.14810562133789 


ffa .fem-flight-attendants-light-510.jpg
 	Label 	 Score
0	Aircraft cabin 	 86.44205331802368 
1	Mode of transport 	 85.13692617416382 
2	Air travel 	 84.06198620796204 
3	Vehicle 	 80.13995289802551 
4	Automotive design 	 79.91331219673157 
5	Flight attendant 	 79.06842827796936 
6	Service 	 73.25737476348877 
7	Airline 	 73.00816178321838 
8	Public transport 	 71.88081741333008 
9	Aerospace engineering 	 70.18130421638489 
	Object 	 Score
0	Person 	 91.52501821517944 
1	Treadmill 	 60.627806186676025 
2	Home appliance 	 53.509521484375 
3	Top 	 51.527124643325806 


ffa .fem-flight-attendants-light-206.jpg
 	Label 	 Score
0	Aircraft cabin 	 90.70961475372314 
1	Vehicle 	 90.22105932235718 
2	Airplane 	 87.81362771987915 
3	Air travel 	 86.61582469940186 
4	Mode of transport 	 85.83869338035583 
5	Travel 	 84.4111979007721 
6	Passenger 	 80.37991523742676 
7	Automotive design 	 80.26478886604309 
8	Comfort 	 77.41936445236206 
9	Airliner 	 77.21152901649475 
	Object 	 Score
0	Person 	 85.48533916473389 
